,chat_id,question_translated,text_response,topic_number,topic_category
257,1794,child diarrhea,child diarrhea important keep hydrated offer small frequent meal avoid giving dairy product fatty food sugary drink diarrhea persists few day accompanied symptom seek medical attention resource link information diarhea hindi,12,Medical_advice
258,1795,complementary food,complementary food food introduced infant alongside breast milk formula around six month old food provide additional nutrient essential baby growth development complementary food include pureed fruit vegetable meat fish grain important introduce food gradually ensure age appropriate safe baby consume resource link information complementary food world health organization complementary feeding internet accessed available center disease control prevention cdc complementary feeding internet accessed available unicef complementary feeding internet accessed available,13,child_nutrition
259,1796,dast kya hota hai,sorry not provide answer question dast not term commonly used referenced early childhood education possible may term used specific context region without information context not provide relevant resource link,2,Education_resource
260,1797,fever,fever common symptom many illness characterized increase body temperature normal range f c usually sign body fighting infection illness fever generally considered temperature f c higher child fever cause concern monitored closely resource link related fever fever kidshealth article provides overview fever including cause symptom treatment option includes information call doctor take child temperature link fever child american academy pediatrics resource provides detailed information fever child including take child temperature call doctor treat fever includes information fever reducing medication home remedy link fever center disease control prevention cdc resource provides information fever including cause symptom treatment option includes information seek medical attention prevent spread fever link fever worry mayo clinic article provides information fever cause concern including symptom may indicate serious illness includes information treat fever seek medical attention link,12,Medical_advice
261,1798,take care young child,ai language model not personal experience opinion provide general tip taking care young child based information available context provided encourage creativity imagination fun engaging activity promote teamwork cooperation among child teach child reusing recycling item home teach child safety emergency situation provide stimulating learning environment child involve parent caregiver supporting childrens learning development aware childrens signal need respond promptly appropriately provide safe clean environment child play explore promote healthy habit active lifestyle parent child relevant resource link unicef early childhood development center disease control prevention zero three child care aware national association education young child,5,Child_development
262,1799,child fever,child fever important keep hydrated monitor temperature give fever reducing medication like acetaminophen ibuprofen important follow recommended dosage based child age weight fever high persists few day important seek medical attention resource link information fever management child,12,Medical_advice
263,1800,start learning child,following resource tip helpful starting learn child early childhood check online resource many online resource available early childhood education khan academy kid pb kid sesame street resource offer variety educational game video activity young child attend parent teacher conference child enrolled preschool daycare program attend parent teacher conference learn child progress support learning home read child reading child one best way promote early literacy skill make sure choose age appropriate book engage child conversation story encourage play play important part early childhood development encourage child engage imaginative play provide toy material promote exploration creativity create learning environment home set designated learning area home age appropriate book puzzle educational toy make sure area quiet free distraction attend parenting workshop many community organization school offer parenting workshop topic early childhood development literacy math skill connect parent join parent group playgroup connect parent share resource tip early childhood learning,2,Education_resource
264,1806,create workshop group,yes provide information create workshop group early childhood education step follow identify target audience determine want reach workshop group parent caregiver teacher anyone else involved early childhood education define goal decide want achieve workshop group provide support resource parent train teacher specific topic create community like minded individual choose format decide format workshop group person meeting online webinars combination plan content determine topic want cover workshop group include child development behavior management curriculum planning invite participant advertise workshop group invite participant join use social medium email list method reach target audience facilitate discussion once participant facilitate discussion activity engage topic chosen provide resource provide resource material support workshop group handout video link relevant website resource link may helpful early childhood education resource national association education young child early childhood learning knowledge center zero three early childhood education zone,2,Education_resource
265,1807,child start learning,child begin learning birth early experience interaction world around shape development early childhood education care ecec program provide structured supportive environment child learn grow government india resource early childhood education available pratham education foundation resource child aged year available important note learning continuous process throughout childhood beyond many resource opportunity available child age continue learning growing,16,early_child_education
266,1810,give solid food baby,according provided context appropriate age introduce solid food baby month age exclusive breastfeeding recommended relevant resource link government india infant young child feeding practice provides detailed information introduce solid food infant,13,child_nutrition
267,1811,much sleep doe year old need,recommended amount sleep year old hour per day including nap relevant resource link american academy sleep medicine national sleep foundation center disease control prevention,5,Child_development
268,1812,child start wasting solid food,resource provided context state month exclusive breastfeeding supplementary food introduced child therefore appropriate age child start consuming solid food around month information infant young child feeding practice following resource may helpful world health organization infant young child feeding unicef infant young child feeding center disease control prevention infant toddler nutrition american academy pediatrics infant toddler nutrition,5,Child_development
269,1813,chico duster mujhe kya karna chahiye,sorry not provide answer question no context information chico duster intend please provide detail clarify question,2,Education_resource
270,1814,kid diarrhea,kid diarrhea important keep hydrated offer small frequent meal avoid giving spicy fatty food make sure wash hand frequently diarrhea persists few day seek medical attention resource link information diarrhea child diarhea hindi,12,Medical_advice
271,1815,child diarrhea,child diarrhea important keep hydrated giving plenty fluid give oral rehydration solution or replace lost fluid electrolyte avoid giving solid food diarrhea stop diarrhea persists day two child show sign dehydration dry mouth sunken eye decreased urine output seek medical attention immediately resource link information,12,Medical_advice
272,1816,ece,early childhood education ece refers education care young child birth age encompasses range program service including preschool child care center home based care aim promote holistic development young child national early childhood care education ecce curriculum framework child six year age aligned government vision ecce spelled national early childhood care education ecce policy national ecce curriculum framework informed position paper ecce national curriculum framework ncert curriculum detailed thereunder purpose framework promote quality excellence early childhood care education providing guideline child care early educational practice framework intended guiding document ecce service provider region link national ecce policy,16,early_child_education
273,1824,teach child count,yes provide information teach child count start small number begin teaching child count once mastered move larger number use visual aid use object block toy picture help child visualize number counting repeat reinforce repeat number count child frequently reinforce learning sing counting song singing counting song make learning count fun engaging child popular counting song include one two buckle shoe five little monkey jumping bed play counting game playing game spy counting object help child practice counting fun interactive way use technology many educational apps online resource available help child learn count example include abcmouse khan academy kid pb kid resource link may helpful sesame street counting game activity pb kid counting game activity khan academy kid counting number abcmouse number counting,19,Child Entertainment
274,1825,bacche ko dast hai kya karna chahiye,child diarrhea important ensure stay hydrated giving plenty fluid water oral rehydration solution or liquid like rice water coconut water clear soup important continue breastfeeding child still nursing avoid giving child solid food diarrhea stopped child condition doe not improve show sign dehydration dry mouth sunken eye decreased urine output seek medical attention immediately relevant resource link information diarhea hindi half minute fight diarrhea dehydration,12,Medical_advice
275,1826,child study,ai language model not provide definitive answer best time child study may vary depending child age individual need preference however research suggests child may benefit studying daytime alert focused important consider child schedule ensure enough time rest play activity relevant resource link website may provide helpful information studying learning child scholastic khan academy educationcom pb learningmedia national geographic kid funbrain coolmathkids brainpop readwritethink time kid,2,Education_resource
276,1827,child developing,determine child developing normally use developmental observation card way test normal development child mentioned context notice developmental delay deviation recommended consult developmental paediatrician paediatrician complete evaluation child relevant resource link pratham open school provides variety resource holistic development health nutrition growth development adolescent related topic link may helpful child growth child safety growing healthy diet period next period taking care period padman movie trailer arunachalam story resource cover range topic related child development may useful parent looking support child growth development,5,Child_development
277,1828,child start reading,no specific age child start reading every child develops pace however child start developing pre reading skill early infancy important expose child book reading material young age encourage love reading resource government india website dedicated early childhood education includes resource childrens education additionally pratham education foundation resource child aged year,2,Education_resource
278,1829,child listen story,many resource available finding story young child listen recommended resource storyline online website feature famous actor reading childrens book aloud accompanied illustration book audible audible offer wide selection audiobooks child including popular title classic story epic epic digital library kid offer variety book audiobooks video child age kid listen kid listen podcast network feature high quality audio content kid including story music educational content librivox librivox offer free public domain audiobooks including classic childrens book story home story home website feature original story classic tale child read aloud professional storyteller bbc sound bbc sound offer variety audio content child including story music educational program spotify spotify offer wide selection childrens audiobooks podcasts including popular title original content,19,Child Entertainment
279,1830,age child walk,according context provided child typically start walking month age however important note every child develops pace wide range considered normal resource link information child development center disease control prevention cdc milestone action american academy pediatrics aap developmental milestone world health organization child development,5,Child_development
280,1831,teach child,sure tip teach child make learning fun child learn best engaged fun incorporate game song interactive activity teaching make enjoyable child use visual aid visual aid picture diagram video help child understand concept better use explain difficult concept reinforce taught break concept teaching complex concept break smaller manageable part help child understand concept better prevent feeling overwhelmed patient child learn pace patient dont rush give time process taught encourage ask question dont understand something provide positive reinforcement encourage child providing positive feedback reinforcement praise offer constructive feedback make mistake use online resource many online resource available help teach child useful link khan academy kid pb kid scholastic learn home national geographic kid funbrain hope tip resource helpful,2,Education_resource
281,1832,ensure development child,several way ensure development child providing safe nurturing environment engaging activity promote holistic development involving parent bring relevant local family culture care environment important consistent caregiver child emotional bond child under age intuitive sensitive attitude response adult care resource link cover various aspect child development unbuttoning buttoning wearing slippersshoes without lace folding clothes reading survival word identification mode transport tracing borrowing returning object assistive aid appliance device half minute fight diarrhea safe drinking water brush kiya kya resource cover topic holistic development health nutrition growth development disability inclusive education physical development cognitive development social development emotional development language development creativity child nutrition special child habit hygiene safety cleanliness diarrhea,5,Child_development
282,1834,child diarrhea,ai language model not provide medical advice however case diarrhea recommended seek medical attention doctor healthcare professional provide proper diagnosis treatment based specific case resource topic few link may helpful world health organization diarrhoeal disease center disease control prevention diarrhea american academy pediatrics diarrhea important note resource informational purpose not used substitute professional medical advice,12,Medical_advice
283,1835,child diarrhea,child diarrhea important keep hydrated offer small frequent meal avoid giving dairy product fatty food sugary drink diarrhea persists few day accompanied symptom fever dehydration seek medical attention resource link information diarhea hindi,12,Medical_advice
284,1836,learn dance,learning dance requires practice patience willingness learn one way start finding dance style interest taking class watching tutorial online many resource available online youtube tutorial online dance class dance apps resource link may helpful danceplug offer online dance class various style dancetutorialslive provides free dance tutorial youtube steezy studio offer online dance class tutorial just dance video game teach dance routine dance magazine provides article resource various dance style,2,Education_resource
285,1839,india independence day,india independence day celebrated august th every year relevant resource link website provides information date history india independence day website provides detailed history india struggle independence british rule news article provides information date time significance india independence day government website provides information significance india independence day celebration take place country,8,History
286,1840,baby eat,baby exclusively breastfed first six month life introduced complementary food continuing breastfeed two year beyond appropriate complementary food include mashed pureed fruit vegetable iron fortified cereal small amount protein rich food like meat poultry fish legume important introduce new food one time watch sign allergic reaction resource link information world health organization center disease control prevention american academy pediatrics,13,child_nutrition
287,1851,get kid come round,sorry need context provide accurate answer come around please provide information clarify question,2,Education_resource
288,1852,identify spherical,identify spherical object look object round curvature direction common example spherical object include ball marble globe resource link may helpful identify sphere article sciencing provides detailed explanation identify sphere including mathematical formula calculating volume sphere identifying sphere worksheet worksheet educationcom provides practice identifying sphere three dimensional shape spherical object lesson plan lesson plan teachengineeringorg provides hand activity student explore identify spherical object,2,Education_resource
289,1853,bacchon ke bal jhad rahe hain sirke,sorry not find resource link treating hair loss child vinegar given context resource mentioned related holistic development health nutrition growth development habit first aid disability inclusive education balanced diet,5,Child_development
290,1857,mazya mulaala julab lagle aahe kay karu,sorry unable understand question appears marathi language not within language capability however early childhood chatbot provide information resource related early childhood development care please provide question english hindi assist better,2,Education_resource
291,1859,child diarrhea,child diarrhea important take action quickly prevent dehydration complication diarrhea common problem young child caused variety factor viral rotavirus infection unclean bottle dirty surroundings contaminated food water symptom diarrhea include watery stool fever vomiting child three bowel movement day likely suffering diarrhea treat diarrhea child important maintain good hygiene cleanliness around child offer child variety liquid food rice porridge semolina pomegranate juice remember feed child small amount food diarrhea additionally important seek medical help diarrhea persists day child show sign dehydration dry mouth sunken eye decreased urine output video resource given context helpful dealing diarrhea child diarrhea hindi half minute fight diarrhea safe drinking water remember prevention always better cure reduce risk diarrhea child important maintain good hygiene healthy diet lifestyle,12,Medical_advice
294,1873,pm modi,pm modi not directly related early childhood development care ai language model not provide information pm modi outside given context please ask question related early childhood development care,2,Education_resource
295,1874,valentino rossi,sorry unable answer valentino rossi not related early childhood development care please ask question related early childhood,2,Education_resource
296,1875,walk,learning walk important milestone early childhood development child learn walk month age gradual process involves developing strength balance coordination infant typically start pulling standing position taking few step holding onto furniture caregiver hand gain confidence stability begin take independent step parent caregiver support child development walking skill providing safe supportive environment includes ensuring child plenty space move around removing hazard obstacle providing sturdy furniture toy support important encourage child practice walking offering praise support without putting much pressure relevant video resource link given context idea video week video feature group mother participating various activity child including game shoot marble bowl create artwork matchstick video doe not specifically address walking doe provide idea fun engaging activity support child overall development idea video week hindi video includes worksheet activity child identify fruit count help cognitive development numeracy skill video doe not specifically address walking doe provide idea activity support child overall development sharir ke ango pan bachhon ke saath baatchit hindi video feature discussion body part hygiene habit important overall health wellbeing video doe not specifically address walking doe provide information support child overall development,2,Education_resource
297,1876,baal shikshan,baal shikshan term hindi refers early childhood education care encompasses various activity strategy parent caregiver educator use support growth development young child early year baal shikshan focus providing safe nurturing environment child learn explore promoting cognitive physical social emotional development common baal shikshan activity include storytelling singing playing game engaging creative activity drawing painting baal shikshan involves providing child opportunity interact peer adult develop communication language skill overall baal shikshan important aspect early childhood development care lay foundation childrens future learning success video resource link idea video std week hindi idea video std week hindi idea video week,2,Education_resource
298,1878,teach child speak,teaching child speak important aspect early childhood development tip parent help child develop language communication skill talk child engage child conversation talking day asking question encouraging respond help develop vocabulary communication skill read child reading child great way expose new word concept help develop listening skill attention span sing song recite rhyme singing song reciting rhyme fun way help child develop language skill help learn rhythm intonation use gesture facial expression use gesture facial expression help child understand saying help learn express non verbally repeat expand child say child speaks repeat say expand adding new word idea help learn new vocabulary sentence structure provide language rich environment surround child language talking reading exposing different type medium video music relevant video resource link given context hindi riddle video challenge viewer solve riddle hindi help develop problem solving critical thinking skill idea video week video provides idea mother engage fun creative activity child help develop language communication skill picture reading hindi video teach child identify color object help develop vocabulary language skill please ask question related early childhood,2,Education_resource
299,1879,teach child discipline,discipline important aspect early childhood development parent teach discipline child role model setting clear consistent rule consequence important remember discipline age appropriate not involve physical punishment parent use positive reinforcement praise encourage good behavior discourage bad behavior addition setting rule consequence parent teach discipline helping child develop self control problem solving skill done encouraging child express feeling emotion healthy way providing opportunity practice decision making problem solving storytelling imaginative play effective tool teaching discipline parent use story play help child understand importance following rule responsible action relevant video resource link given context idea video week video provides idea fun creative activity mother child promote learning development including activity help teach discipline idea video std week hindi video provides tip parent support child development including strategy promoting positive behavior discipline idea video std week hindi video provides idea engaging educational activity parent child home including activity help teach discipline,2,Education_resource
300,1896,age feed child,exclusive breastfeeding recommended first six month child life six month complementary food introduced continuing breastfeed two year age beyond adequate nutrition essential growth development young child important provide appropriate quantity quality food meet nutritional requirement resource link page resource link resource related early childhood education resource link video related early childhood development,5,Child_development
301,1897,ece,ece stand early childhood care education critical stage development child life rate development first six year rapid stage development research neuroscience confirms importance early year child life particularly since brain development already taken place time child six year age early childhood care education ecce encompass inseparable element care health nutrition play early learning within protective enabling environment indispensable foundation lifelong development learning lasting impact early childhood development national ecce policy visualizes nurturance promotion holistic development active learning capacity child year age promoting free universal inclusive equitable joyful contextualized opportunity laying foundation attaining full potential national early childhood care education ecce curriculum framework child six year age aligned government vision ecce spelled national early childhood care education ecce policy framework intended guiding document ecce service provider region wish support early year professional service provider ecce teacherscaregivers community state government providing rich early stimulation learning experience child birth pre primary year,16,early_child_education
302,1898,child not getting taller,growth child monitored measuring height weight head circumference periodically since birth immunization child visit done parent normal height child birth cm cm year month cm month year height increase cmyear year child not growing taller expected parent consult pediatrician identify underlying health issue may affecting growth important note genetics play role child height possible child may just naturally shorter average parent ensure child receiving nutritious balanced diet adequate physical exercise enough sleep support growth development video resource link sorry no video resource link given context related question,5,Child_development
303,1899,child sleepless,several reason child sleepless inadequate sleep reduced physical activity increased screen time factor responsible obesity child mentioned given context delayed sleep time coupled early school imposes significant constraint adolescent sleep schedule predisposes reduction total sleep time short sleep duration child associated increase odds becoming obese increase body fat percent therefore essential ensure child get adequate sleep physical activity limited screen time maintain healthy lifestyle early childhood chatbot recommend parent caregiver establish consistent sleep routine child includes regular bedtime wake time creating sleep conducive environment quiet dark room help child fall asleep faster stay asleep longer encouraging physical activity day limiting screen time bedtime promote better sleep quality video resource link given context may helpful parent caregiver looking information early childhood development care hindi riddle video may not directly related sleep used fun engaging activity promote problem solving critical thinking skill child inadequate sleep reduced physical activity increased screen time responsible obesity child video provides information factor contribute obesity child including inadequate sleep offer suggestion promote healthy lifestyle health promotion early stage life video emphasizes importance promoting healthy eating practice regular physical activity early age promote overall health child,5,Child_development
304,1901,ece,ece stand early childhood care education critical stage development child life rate development first six year rapid stage development research neuro science confirms importance early year child life particularly since brain development already taken place time child six year age early childhood care education ecce make positive contribution childrens long term development learning facilitating enabling stimulating environment foundation year lifelong learning national ecce policy visualizes nurturance promotion holistic development active learning capacity child year age promoting free universal inclusive equitable joyful contextualized opportunity laying foundation attaining full potential vision indian child reflects belief child childhood possible desirable human life individual societal level ece encompasses inseparable element care health nutrition play early learning within protective enabling environment indispensable foundation lifelong development learning lasting impact early childhood development investing ecce undoubtedly lead long term social economic benefit,16,early_child_education
305,1902,itami o shira no mono ni honto no hewa wakaran itami o ukitore itami o shire shinra tensei,please ask question related early childhood,2,Education_resource
306,1903,child weak stomach,child weak stomach important take extra care ensure eating healthy nutritious food avoid giving spicy oily food make sure drinking plenty water important maintain good hygiene cleanliness around child prevent spread germ infection several video given context helpful parent caregiver young child concerned child health video titled beware stomach bug discus common cause diarrhea child provides tip preventing treating video child nutrition provides information importance healthy balanced diet child help strengthen immune system prevent stomach problem additionally video emergency service provides information get help case medical emergency related stomach problem resource link beware stomach bug hindi child nutrition hindi emergency service hindi,12,Medical_advice
307,1904,child doe not feel hungry suggest remedy,child not feeling hungry several reason one common reason may experiencing loss appetite due illness teething case important ensure child stay hydrated get enough fluid offer small frequent meal throughout day encourage eat feel hungry another reason loss appetite due change routine environment child recently started attending daycare preschool may feeling anxious stressed affect appetite case important provide safe nurturing environment child help adjust new routine gradually important ensure child getting balanced nutritious diet offer variety food different food group avoid giving many sugary processed food encourage eat fruit vegetable whole grain rich fiber essential nutrient tip help child develop healthy eating habit offer small frequent meal throughout day encourage child eat feel hungry provide variety food different food group avoid giving many sugary processed food offer fruit vegetable whole grain make mealtime fun enjoyable set good example eating healthy food video resource link video showcase importance learning observation trying new thing help parent caregiver encourage child try new food develop healthy eating habit video provides information importance providing appropriate nutrition infant young child help parent caregiver understand nutritional need child provide balanced nutritious diet video showcase fun interactive activity help child develop motor skill coordination encourage child try new food develop healthy eating habit,2,Education_resource
308,1905,child difficulty defecating,child difficulty defecating due constipation constipation common problem young child especially transitioning liquid solid diet caused variety factor including lack fiber diet dehydration lack physical activity help child constipation try increasing intake fiber rich food fruit vegetable whole grain encourage drink water engage physical activity measure not help may want consult child doctor advice relevant video resource link parent caregiver young child learn preventing treating constipation child diarhea hindi please note child experiencing severe persistent constipation important seek medical attention healthcare professional,12,Medical_advice
309,1906,child high fever suggest remedy,sorry hear child high fever ai language model not provide medical advice however important seek medical attention doctor healthcare professional soon possible high fever young child sign serious illness requires prompt medical attention meantime try make child comfortable keeping hydrated giving plenty rest use cool compress help bring fever important monitor child temperature regularly seek medical attention fever persists show concerning symptom please ask question related early childhood,12,Medical_advice
310,1907,child hearing loss suggest solution,child hearing loss important consult pediatrician audiologist determine extent hearing loss appropriate course action several solution available child hearing loss including hearing aid cochlear implant assistive listening device solution help child hearing loss communicate effectively participate fully social educational activity term early childhood development care important provide supportive nurturing environment child hearing loss may include using visual aid gesture supplement verbal communication providing opportunity social interaction play ensuring child access appropriate educational resource accommodation video resource link given context may helpful parent caregiver child hearing loss hearing loss child sign symptom video provides information sign symptom hearing loss child importance early detection intervention teaching strategy child hearing loss video provides tip strategy teaching supporting child hearing loss classroom home assistive technology child hearing loss video provides overview different type assistive technology available child hearing loss including hearing aid cochlear implant fm system,2,Education_resource
311,1908,child suffering constipation,constipation common problem child especially early year caused variety factor lack fiber diet dehydration not getting enough exercise help relieve constipation young child important encourage drink plenty water eat diet rich fiber fruit vegetable whole grain additionally regular exercise help stimulate bowel movement prevent constipation tip help relieve constipation young child encourage child drink plenty water throughout day offer child diet rich fiber fruit vegetable whole grain encourage child engage regular physical activity running jumping playing outside consider offering child small amount prune juice natural laxative help stimulate bowel movement talk child doctor constipation persists child experiencing pain discomfort resource link video discus cause remedy constipation child title diarrhea hindi please note video discus diarrhea cover topic constipation child another resource link video discus cause remedy constipation child title constipation child hindi video provides information cause remedy constipation child tip preventing constipation future third resource link video discus cause remedy constipation child title constipation child hindi video provides information cause remedy constipation child tip preventing constipation future,12,Medical_advice
312,1909,son angry,sorry hear son angry important understand anger natural emotion healthy way child express however important help child learn manage anger safe appropriate way tip may help stay calm child angry important remain calm avoid reacting anger help de escalate situation prevent getting worse validate feeling let child know okay feel angry understand might feeling way help feel heard validated teach coping strategy help child learn healthy way cope anger taking deep breath counting going walk teach express feeling art writing set clear boundary let child know behavior not acceptable angry hitting throwing thing set clear consequence behavior follow consistently seek help needed child anger persistent severe may helpful seek guidance mental health professional provide additional support strategy relevant video resource link given context may helpful hindi riddle idea video std week hindi picture reading hindi please note video may not directly address issue anger management may provide helpful tip strategy early childhood development care,2,Education_resource
313,1910,daughter trouble period suggest solution,sorry early childhood chatbot not qualified provide advice issue related menstruation important seek medical advice doctor healthcare professional provide accurate information guidance manage menstrual issue question related early childhood development care happy assist,2,Education_resource
314,1911,son hand thin,common childrens hand appear thin early childhood still growing developing however concern child hand size development best consult pediatrician healthcare provider ass child growth development provide guidance concern may additionally engaging activity promote fine motor skill playing block drawing help support hand development young child resource link video provides tip activity promoting fine motor skill young child,5,Child_development
315,1926,child injured leg,child injured leg first step ass severity injury injury minor clean wound soap water apply bandage injury serious fracture deep cut seek medical attention immediately call emergency hotline number provided emergency call hindi video resource link help important keep child calm comfortable seek medical attention distract engaging quiet activity talking soothing voice important keep injured leg elevated reduce swelling future may helpful first aid kit hand case emergency first aid box video resource link provides information item include first aid kit remember safety top priority come early childhood development care important take precaution prevent injury accident happening first place taking precaution period video resource link provides information stay safe healthy menstruation introduction first aid video resource link provides basic information administer first aid emergency situation video resource link emergency call hindi first aid box taking precaution period introduction first aid,12,Medical_advice
316,1927,mera baccha continuously rota hai mai kya karu,early childhood chatbot understand distressing parent child cry continuously several reason child may cry hunger discomfort tiredness illness essential identify cause cry address accordingly parent try following strategy soothe cry child check child hungry need diaper change ensure child comfortable not feeling hot cold try calm child holding rocking gently singing lullaby engage child soothing activity reading book playing soft toy child unwell seek medical attention important parent take care seek support family friend needed normal young child cry parent not feel guilty overwhelmed resource link tip soothing cry baby understanding baby cry coping cry baby hope tip resource help parent soothe cry child provide support need,18,Parenting
317,1948,child eat,child eat healthy balanced diet support growth development early year includes variety fruit vegetable whole grain lean protein healthy fat parent caregiver ensure child getting nutrient need offering range healthy food avoiding processed sugary snack important encourage child drink plenty water limit intake sugary drink video resource link given context helpful parent caregiver want learn child nutrition chapati ka chivda video showcase healthy snack recipe easy make great option child need quick nutritious snack khichdi video explores history recipe khichdi traditional indian dish great source nutrition young child small hand big task pea peeling video showcase fun interactive way involve child meal preparation encourage healthy eating habit,13,child_nutrition
318,1949,baby doesnt want eat,baby doesnt want eat important first make sure not sick experiencing discomfort healthy few thing try encourage eat offer small frequent meal throughout day instead large meal make sure food age appropriate easy eat try offering variety food see baby preference important not force baby eat create negative association food instead try make meal time positive enjoyable experience involve baby meal preparation process letting help stirring mashing concerned baby eating habit important speak healthcare professional sorry unable provide video resource link related question none provided given context,2,Education_resource
319,1950,baccho dher ki khoobo che,baalsakhi early childhood chatbot may assist please ask question related early childhood,2,Education_resource
320,1953,child sick,child sick important take doctor healthcare professional soon possible common illness young child include diarrhea fever cough cold important monitor child symptom seek medical attention persist worsen meantime help child feel comfortable providing plenty fluid rest healthy diet important maintain good hygiene practice washing hand frequently keeping child surroundings clean information prevent manage common illness young child consult child doctor healthcare professional sorry unable provide video resource link related question given context doe not contain relevant video resource topic,12,Medical_advice
321,1961,child sick,child sick important seek medical attention soon possible common illness young child include diarrhea worm infection respiratory infection important maintain good hygiene practice washing hand frequently prevent spread illness additionally ensuring child eating healthy balanced diet help boost immune system prevent illness looking information care sick child refer following video resource given context diarhea hindi video discus cause remedy diarrhea child offer tip maintaining good hygiene feeding child illness worm infection hindi video provides information common type worm infection child identify symptom infection prevent treat emergency call hindi video provides emergency hotline number dialed help case danger emergency emphasizes importance prepared list emergency number readily available remember ever unsure child health always best consult medical professional,12,Medical_advice
322,1962,fever,child fever important seek medical attention follow advice healthcare professional meantime parent caregiver take step help manage child fever keep comfortable strategy managing fever young child include encouraging child rest stay hydrated offering plenty fluid water breast milk formula dressing child lightweight clothing keeping room cool help reduce body temperature using cool compress sponge bath help lower child temperature administering medication acetaminophen ibuprofen directed healthcare professional important note aspirin not given child fever lead serious condition called reyes syndrome video resource link video provides information manage fever young child including tip keeping comfortable seek medical attention video discus cause fever child provides advice manage including use medication home remedy video provides information cause remedy diarrhea child common symptom fever offer tip maintaining clean healthy environment child,12,Medical_advice
323,1967,recipe dosa,sorry unable answer no information provided given context recipe dosa please ask question related early childhood,2,Education_resource
324,1968,teach child read,teaching child read fun engaging activity child parent tip teaching child read start basic teach child alphabet sound letter make help recognize letter begin sound word use phonics phonics method teaching reading focus sound letter letter combination helpful tool teaching child read read together reading child help develop love book reading choose book appropriate age reading level take turn reading aloud make fun use game activity make reading fun engaging example play word game create story act scene book practice regularly consistency key come teaching child read set aside time day practice reading together video resource given context may helpful teaching child read idea video week hindi video provides tip parent incorporate reading storytelling child daily routine picture reading hindi video help child learn recognize read word associating picture hindi rhyme child video feature fun engaging rhyme hindi help child develop language reading skill resource link,2,Education_resource
325,1973,kid sick feed kid,child sick diarrhea important feed small amount food frequently rice porridge semolina pomegranate juice important continue breastfeeding giving mother milk mixed or liquid however child sick something diarrhea best consult child doctor determine best course action video resource link diarhea hindi emergency call hindi home visit hindi,12,Medical_advice
